company,company_website,industry,job_title,pub_date,job_url,source
Spandia Textile Sp. z o.o.,,,Głowny księgowy / Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan,oferta,1004362367",pracuj.pl
ELEKTRIK-STAR sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-brzesko-szczepanowska-2,oferta,1004333791",pracuj.pl
SĄD REJONOWY SZCZECIN - PRAWOBRZEŻE I ZACHÓD W SZCZECINIE,,,Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-szczecin-plac-zolnierza-polskiego-16,oferta,1004376474",pracuj.pl
CENTRUM KULTURY NOWY PAFAWAG,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-chociebuska-4-6,oferta,1004376414",pracuj.pl
TERSTEEL GROUP sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-blachownia-dluga-4,oferta,1004346466",pracuj.pl
HEXAGONES Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-wroclaw-robotnicza-54,oferta,1004378795",pracuj.pl
PF Logo Express Sp. z o.o.,,,Główna Księgowa/ Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-robakowo-pow-poznanski-zernicka-22,oferta,1004378729",pracuj.pl
Goldman Recruitment,,,Główna Księgowa / Główny Księgowy,2025-09-26,https://pracodawcy.pracuj.pl/company/1074092414?pid=1004378689&multiple=true,pracuj.pl
Kancelaria Tax & Law sp.z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-krakow-jana-zamoyskiego-81,oferta,1004377716",pracuj.pl
Michael Page,,,Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-opole,oferta,1004377578",pracuj.pl
Thermoplast Technology P.S.A.,,,Główny Księgowy / Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-libiaz-wilcza-3,oferta,1004377575",pracuj.pl
OPERA NA ZAMKU W SZCZECINIE,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szczecin-korsarzy-34,oferta,1004344740",pracuj.pl
"Gminna Spółdzielnia ""Samopomoc Chłopska""",,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-nowe-dworcowa-2,oferta,1004334560",pracuj.pl
KT-24 sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-psarskie-pow-sremski-sikorskiego-86c,oferta,1004377008",pracuj.pl
"""CON-GRAPH POLSKA"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-lubicz-gorny-pow-torunski,oferta,1004376665",pracuj.pl
Inter Land sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-stawiguda-pow-olsztynski,oferta,1004362461",pracuj.pl
Spandia Textile Sp. z o.o.,,,Głowny księgowy / Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan,oferta,1004362367",pracuj.pl
ELEKTRIK-STAR sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-brzesko-szczepanowska-2,oferta,1004333791",pracuj.pl
SĄD REJONOWY SZCZECIN - PRAWOBRZEŻE I ZACHÓD W SZCZECINIE,,,Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-szczecin-plac-zolnierza-polskiego-16,oferta,1004376474",pracuj.pl
CENTRUM KULTURY NOWY PAFAWAG,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-chociebuska-4-6,oferta,1004376414",pracuj.pl
TERSTEEL GROUP sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-blachownia-dluga-4,oferta,1004346466",pracuj.pl
HEXAGONES Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-wroclaw-robotnicza-54,oferta,1004378795",pracuj.pl
PF Logo Express Sp. z o.o.,,,Główna Księgowa/ Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-robakowo-pow-poznanski-zernicka-22,oferta,1004378729",pracuj.pl
Goldman Recruitment,,,Główna Księgowa / Główny Księgowy,2025-09-26,https://pracodawcy.pracuj.pl/company/1074092414?pid=1004378689&multiple=true,pracuj.pl
Kancelaria Tax & Law sp.z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-krakow-jana-zamoyskiego-81,oferta,1004377716",pracuj.pl
Michael Page,,,Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-opole,oferta,1004377578",pracuj.pl
Thermoplast Technology P.S.A.,,,Główny Księgowy / Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-libiaz-wilcza-3,oferta,1004377575",pracuj.pl
OPERA NA ZAMKU W SZCZECINIE,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-szczecin-korsarzy-34,oferta,1004344740",pracuj.pl
"Gminna Spółdzielnia ""Samopomoc Chłopska""",,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-nowe-dworcowa-2,oferta,1004334560",pracuj.pl
KT-24 sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-psarskie-pow-sremski-sikorskiego-86c,oferta,1004377008",pracuj.pl
"""CON-GRAPH POLSKA"" sp. z o.o.",,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-lubicz-gorny-pow-torunski,oferta,1004376665",pracuj.pl
Inter Land sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-stawiguda-pow-olsztynski,oferta,1004362461",pracuj.pl
Spandia Textile Sp. z o.o.,,,Głowny księgowy / Główna Księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-poznan,oferta,1004362367",pracuj.pl
ELEKTRIK-STAR sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-brzesko-szczepanowska-2,oferta,1004333791",pracuj.pl
SĄD REJONOWY SZCZECIN - PRAWOBRZEŻE I ZACHÓD W SZCZECINIE,,,Główny Księgowy,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-szczecin-plac-zolnierza-polskiego-16,oferta,1004376474",pracuj.pl
CENTRUM KULTURY NOWY PAFAWAG,,,Główny księgowy / Główna księgowa,2025-09-26,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-chociebuska-4-6,oferta,1004376414",pracuj.pl
